time,source,name,Family,Series,Form Factor,"# of CPU Cores","# of Threads",Max. Boost Clock,Base Clock,L2 Cache,L3 Cache,Default TDP,L1 Cache,AMD Configurable TDP (cTDP),Processor Technology for CPU Cores,Unlocked for Overclocking,CPU Socket,Thermal Solution (PIB),Recommended Cooler,Thermal Solution (MPK),Max. Operating Temperature (Tjmax),Launch Date,*OS Support,PCI Express® Version,System Memory Type,Memory Channels,System Memory Specification,Graphics Model,Graphics Core Count,Graphics Frequency,AMD Ryzen™ AI,Product ID Boxed,Product ID Tray,Product ID MPK,Supported Technologies,All Core Boost Speed,1kU Pricing,Socket Count,Per Socket Mem BW,AMD Infinity Guard,Workload Affinity,GPU Architecture,Lithography,Stream Processors,Matrix Cores,Compute Units,Peak Engine Clock,"Peak Eight-bit Precision (FP8) Performance (E5M2, E4M3)","Peak Eight-bit Precision (FP8) Performance with Structured Sparsity (E5M2, E4M3)",Peak Half Precision (FP16) Performance,Peak Half Precision (FP16) Performance with Structured Sparsity,Peak Single Precision (TF32 Matrix) Performance,Peak Single Precision (TF32) Performance with Structured Sparsity,Peak Single Precision Matrix (FP32) Performance,Peak Double Precision Matrix (FP64) Performance,Peak Single Precision (FP32) Performance,Peak Double Precision (FP64) Performance,Peak INT4 Performance,Peak INT8 Performance,Peak INT8 Performance with Structured Sparsity,Peak bfloat16,Peak bfloat16 with Strutured Sparsity,Transistor Count,AMD EPYC™ CPU Architecture,CPU Cores,CPU Peak Engine Clock,External Power Connectors,Thermal Design Power (TDP),Typical Board Power (TBP),Last Level Cache (LLC),Dedicated Memory Size,Dedicated Memory Type,Unified Memory Architecture,Infinity Cache,Memory Interface,Memory Clock,Peak Memory Bandwidth,Memory ECC Support,GPU Form Factor,Bus Type,Infinity Fabric™ Links,Peak Infinity Fabric™ Link Bandwidth,Cooling,Board Height,Board Length,Board Width,RAS Support,Page Retirement,Page Avoidance,SR-IOV,Coherency Enabled,DirectX®,OpenGL®,OpenMP®,OpenCL™,HIP,ROCm™ Open Ecosystem,Vulkan®,TensorFlow,PyTorch,ONYX-RT,JAX,Kokkos,RAJA,OS Support,Processor Type,OPN,CPU Type,Infrastructure,Last Time Buy,Recommended for new designs,CPU Base Freq.,CPU Max Freq.,Total L2 Cache,Total L3 Cache,TDP,Junction Temp Range,Security Processor,GPU Brand,GPU Base,GPU Max,GPU CU,"# of Displays",Max Resolution (for single display),Display Interfaces,HW Video Encode / Decode,Memory Type,Memory Controller,Ethernet,USB,USB 3.2 Gen2,SATA,Low Speed Interfaces,PCIe® Lanes,Gen4
2025-03-11 09:46:04,https://www.amd.com/en/products/specifications/processors.html,AMD Ryzen™ 3 PRO 5355G,Ryzen PRO,Ryzen PRO 5000 Series,Desktops,4,8,Up to 4.2 GHz,4 GHz,2 MB,8 MB,65W,,,TSMC 7nm FinFET,No,AM4,,,,95°C,9/5/2024,"Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit",PCIe® 3.0,DDR4,2,Up to 3200 MT/s,Radeon™  Graphics,6,1700 MHz,,,100-000001749,,AMD PRO technologies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-11 09:46:04,https://www.amd.com/en/products/specifications/processors.html,AMD Ryzen™ 3 PRO 5350GE,Ryzen PRO,Ryzen PRO 5000 Series,Desktops,4,8,Up to 4.2 GHz,3.6 GHz,2 MB,8 MB,35W,,,TSMC 7nm FinFET,No,AM4,,,,95°C,6/1/2021,"Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit",PCIe® 3.0,DDR4,2,Up to 3200 MT/s,Radeon™  Graphics,6,1700 MHz,,,100-000000259,,AMD PRO technologies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-11 09:46:04,https://www.amd.com/en/products/specifications/processors.html,AMD Ryzen™ 3 PRO 5350G,Ryzen PRO,Ryzen PRO 5000 Series,Desktops,4,8,Up to 4.2 GHz,4 GHz,2 MB,8 MB,65W,,,TSMC 7nm FinFET,No,AM4,,,,95°C,6/1/2021,"Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit",PCIe® 3.0,DDR4,2,Up to 3200 MT/s,Radeon™  Graphics,6,1700 MHz,,,100-000000256,,AMD PRO technologies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-11 09:46:04,https://www.amd.com/en/products/specifications/processors.html,AMD Ryzen™ 9 5980HX,Ryzen,Ryzen 5000 Series,"Laptops , Desktops",8,16,Up to 4.8 GHz,3.3 GHz,4 MB,16 MB,45+W,,35-54W,TSMC 7nm FinFET,,FP6,,,,105°C,1/12/2021,"Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit",PCIe® 3.0,"DDR4 - Up to 3200 , LPDDR4 - Up to 4266",,,AMD Radeon™ Graphics,8,2100 MHz,,,100-000000474,,AMD Zen 3 Core Architecture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-11 09:46:04,https://www.amd.com/en/products/specifications/processors.html,AMD Ryzen™ 9 5980HS,Ryzen,Ryzen 5000 Series,"Laptops , Desktops",8,16,Up to 4.8 GHz,3 GHz,4 MB,16 MB,35W,,,TSMC 7nm FinFET,,FP6,,,,105°C,1/12/2021,"Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit",PCIe® 3.0,"DDR4 - Up to 3200 , LPDDR4 - Up to 4266",,,AMD Radeon™ Graphics,8,2100 MHz,,,100-000000474,,AMD Zen 3 Core Architecture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-11 09:46:04,https://www.amd.com/en/products/specifications/processors.html,AMD Ryzen™ 9 5950X,Ryzen,Ryzen 5000 Series,"Desktops , Boxed Processor",16,32,Up to 4.9 GHz,3.4 GHz,8 MB,64 MB,105W,,,TSMC 7nm FinFET,Yes,AM4,Not Included,Liquid cooler recommended for optimal performance,,90°C,11/5/2020,"Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit",PCIe® 4.0,DDR4,,Up to 3200 MT/s,Discrete Graphics Card Required,,,,100-100000059WOF,100-000000059,,"AMD StoreMI Technology , AMD Zen 3 Core Architecture , AMD Ryzen™ Master Utility , AMD Ryzen™ VR-Ready Premium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-11 09:46:04,https://www.amd.com/en/products/specifications/processors.html,AMD Ryzen™ 9 5900XT,Ryzen,Ryzen 5000 Series,"Boxed Processor , Desktops",16,32,Up to 4.8 GHz,3.3 GHz,8 MB,64 MB,105W,1024 KB,,TSMC 7nm FinFET,Yes,AM4,Not Included,,,90°C,07/31/2024,"Windows 11 - 64-Bit Edition , Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit",PCIe® 4.0,DDR4,2,,Discrete Graphics Card Required,,,,"100-100001581WOF , 100-100001581WOZ",100-000001581,,"AMD Zen 3 Core Architecture , AMD StoreMI Technology , AMD Ryzen™ Master Utility , AMD Ryzen™ VR-Ready Premium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-11 09:46:04,https://www.amd.com/en/products/specifications/processors.html,AMD Ryzen™ 9 5900X,Ryzen,Ryzen 5000 Series,"Desktops , Boxed Processor",12,24,Up to 4.8 GHz,3.7 GHz,6 MB,64 MB,105W,,,TSMC 7nm FinFET,Yes,AM4,Not Included,Liquid cooler recommended for optimal performance,,90°C,11/5/2020,"Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit",PCIe® 4.0,DDR4,,Up to 3200 MT/s,Discrete Graphics Card Required,,,,100-100000061WOF,100-000000061,,"AMD StoreMI Technology , AMD Zen 3 Core Architecture , AMD Ryzen™ Master Utility , AMD Ryzen™ VR-Ready Premium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-11 09:46:04,https://www.amd.com/en/products/specifications/processors.html,AMD Ryzen™ 9 5900HX,Ryzen,Ryzen 5000 Series,"Laptops , Desktops",8,16,Up to 4.6 GHz,3.3 GHz,4 MB,16 MB,45+W,,35-54W,TSMC 7nm FinFET,,FP6,,,,105°C,1/12/2021,"Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit",PCIe® 3.0,"DDR4 - Up to 3200 , LPDDR4 - Up to 4266",,,AMD Radeon™ Graphics,8,2100 MHz,,,100-000000300,,AMD Zen 3 Core Architecture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-11 09:46:04,https://www.amd.com/en/products/specifications/processors.html,AMD Ryzen™ 9 5900HS,Ryzen,Ryzen 5000 Series,"Laptops , Desktops",8,16,Up to 4.6 GHz,3 GHz,4 MB,16 MB,35W,,,TSMC 7nm FinFET,,FP6,,,,105°C,1/12/2021,"Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit",PCIe® 3.0,"DDR4 - Up to 3200 , LPDDR4 - Up to 4266",,,AMD Radeon™ Graphics,,2100 MHz,,,100-000000300,,AMD Zen 3 Core Architecture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
